数据集类型,样本数量,平均长度,长度标准差,最小长度,最大长度
训练集正样本,157768,1027.031660412758,1305.0956296758905,5,347561
训练集负样本,75,4061.9066666666668,5325.040059125273,412,19236
验证集正样本,19721,1019.8123320318442,780.3348998196351,87,20397
验证集负样本,9,3568.0,5642.294115773201,561,19043
测试集正样本,19722,1020.864618192881,758.8013524446882,60,19697
测试集负样本,10,2950.3,6616.358682084883,503,22743
